Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,City,A free copy of Mastering The Interview,Last Notable Activity,lead_score,actual_converted,assigned_rep
Lead Add Form,Reference,No,1,3.0,1650,2.0,Unreachable,Business Administration,Working Professional,Mumbai,No,Modified,0.9971436418492815,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,2081,2.0,Email Opened,Hospitality Management,Unemployed,Mumbai,No,Modified,0.9927031074901049,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,6.0,1812,2.0,Page Visited on Website,Marketing Management,Unemployed,Mumbai,Yes,Page Visited on Website,0.9909769717755986,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,1.0,1397,1.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9906503194871232,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1447,2.0,Email Opened,Travel and Tourism,Working Professional,Mumbai,No,Modified,0.9904169158518188,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,1.0,1486,1.0,Page Visited on Website,Retail Management,Unemployed,Mumbai,No,Page Visited on Website,0.9894429373943429,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1357,2.0,Email Opened,Marketing Management,Working Professional,Mumbai,No,Modified,0.9883595283372556,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,5.0,1722,5.0,SMS Sent,Business Administration,Working Professional,Mumbai,No,SMS Sent,0.9875453143210091,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,5.0,1925,5.0,SMS Sent,International Business,Working Professional,Thane & Outskirts,No,SMS Sent,0.9867683041905784,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,1.0,1046,1.0,Page Visited on Website,Finance Management,Unemployed,Mumbai,No,Page Visited on Website,0.9867429814000435,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,6.0,1957,1.5,SMS Sent,Marketing Management,Working Professional,Other Cities of Maharashtra,Yes,SMS Sent,0.9846941067609737,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1704,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9846903340859662,1,Rep_A (Top Closer)
Landing Page Submission,Referral Sites,No,1,4.0,1653,2.0,Page Visited on Website,Business Administration,Unemployed,Mumbai,No,Page Visited on Website,0.9838285735536542,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,1672,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9837089906186977,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,0,4.0,1965,4.0,SMS Sent,Business Administration,Unemployed,Mumbai,No,SMS Sent,0.9829907778765358,0,Rep_A (Top Closer)
Landing Page Submission,Referral Sites,No,0,54.0,1280,4.5,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.9814502206225358,0,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,3.0,1240,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.9803627707728244,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,10.0,1361,2.5,SMS Sent,Human Resource Management,Working Professional,Other Metro Cities,Yes,SMS Sent,0.9803147971946524,1,Rep_A (Top Closer)
